用户,评论
X***u,iPhone 16 体验惊艳！A18 Pro 性能炸裂，游戏多开不发热。续航提升30%，一天一充够用。超视网膜XDR屏色彩精准，户外亮度2500nit超清晰。4800万主摄+5倍光学变焦，随手拍都是大片。钛金属中框更轻更坚固，散热优化到位。iOS 18智能Siri超好用，信号稳如老狗。这次升级很良心，果粉闭眼入！
何***情,三码合一 安全下车 国补入手 京东小哥送货很严谨 当面激活 还有贵重物品验证码牵手 非常满意 以下开始水字数 宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o真的很好用，对商品非常满意，属于无限回购款，推荐！质量好得不得了，价格低得让人惊喜。物流快如飞，商家服务优，售后靠谱！
我***刘,iPhone的质感一直很好，16的黑色比上一代的饱和度更高，质感不错，手感很好，外观简约耐看，拍照清晰，比上一代更完美。
d***少,国补来了，以旧换新，还挺划算的。个人喜欢小屏的，所以选择16。买的蓝色，很好看。手感真的不错，拍照、屏幕也很出色。功能太多，还没解锁完。
刘***9,【京东购物超赞体验】新入手的iPhone在京东次日达，物流神速！全新原封包装，官网验证正品无忧。机身工艺精湛，屏幕显示细腻，运行流畅无比，续航持久耐用。客服耐心解答，售后保障齐全，价格还比官网优惠！强烈推荐京东购买数码产品，品质服务双保障，下次换新还会继续光顾！
u***h,心心念念的16，黑色机身质感很好，简约大气，高级感满满的，网络很好，下载任何软件都不会卡，拍照效果很好👍👍👍👍👍
j***2,苹果手机质感出众！流畅的系统搭配强劲芯片，多任务运行无压力。影像功能强大，随手拍都是大片。外观精致，生态联动便捷，用着超省心！
H***3,颜色很好看，操作简单，十分流畅，用起来跟以前的一样，更新的一些按键和功能有待慢慢研究，拍照多了快捷键，没有很习惯，应该用不多
0***w,iPhone 16手感轻薄，灵动岛超实用！影像升级出片惊艳，续航一整天稳扛。系统流畅丝滑，细节设计太戳心，体验满分～
小***y,作为京东的手机用户，我在京东购买手机感到非常满意和放心。苹果iPhone 16的外观设计非常吸引人，双摄像头具有独特的设计感，手感光滑不粗糙，整体表现非常出色。
挂***字,这款商品真是性价比超高啊！外观简洁大方，材质结实耐用👍。而且价格也很实惠，真是物超所值了✨。强烈推荐给各位学生和办公族们使用！ 外形外观：手感很好，拍照清晰 运行速度：运行速度很快。
绿***叶,趁有活动给妹妹下了一台，第二天妹妹收到打开看到这个颜色特别惊喜，外观特别好看，入得妹妹心，手机拍照效果也很好无死角，用起来特别顺畅。
小***1,机身很轻薄，拿在手里的感觉很舒服。新增的微距摄影功能，拍照可以拍出更多的细节。续航也是比之前有所增加的。
t***d,参加国补买的，性价比高！以前用的安卓这次换个系统体验下，很流畅，已经适应这个手感，大小对我的小手来说很友好
j***3,这部手机的表现真是让人惊喜！操作起来非常流畅，没有任何迟滞，用户体验超出预期。高清屏幕和优质的设计也让每一次使用都成为享受。无论是日常通讯还是娱乐休闲，它都能完美满足需求。真心推荐给正在寻找高性能手机的朋友们！
j***r,是正品，没有瑕疵。白色真的很好看🥰 我觉得拍照比我姐的15pm要好看些，而且可以在拍的时候就换滤镜，直接出片出效果，非常nice！ 到货很快，快递员服务热情，国补之后真的很划算。
w***0,iphone值得购买，用了国补，价格合适， 外形外观：黑色非常好看，很美观 屏幕音效：屏幕清晰度很高，拍照也很好
天***6,搞活动买苹果手机超值的，比刚发布时果子16优惠不少，系统流畅，安全，白色款，简约高雅，还是喜欢直面屏和流畅的系统，综合表现很好。
小***狮,很喜欢这个摄像头的设定，我不是坚定的果粉所以比较容易get到这个摄像头的排列。而且这个拍照有一个滤镜的调动，非常好看，冷暖色调可以自由控制。
Y***z,刚到手的iPhone手机真的很棒！📱不管是外观设计还是性能都非常出色🌟。手感也很不错，颜色也非常喜欢🖤。期待能早点体验它的各种功能和拍照效果啦！
粥***5,这个颜色好好看啊，随便套个手机壳更好看，这个颜色超显白、对机子也做了升级处理，超广角还是1200万像素、光圈提升了
Q***l,入手iPhone 16后，体验直线拉满。A18芯片搭配第二代3纳米工艺，性能强劲，游戏、办公都丝滑流畅。新增相机控制按钮，滑动就能调整参数，拍照超便捷。22小时超长视频播放续航，外出也没顾虑。6.1英寸屏幕色彩鲜艳，搭配多彩机身，颜值超高，入手不亏。
j***n,【苹果手机60字评价】  iPhone 16 Pro Max体验超预期！A18 Pro芯片性能炸裂，6.9英寸XDR屏显示细腻，120Hz高刷流畅无比。4800万三摄拍照惊艳，夜间模式清晰，空间视频录制很实用。续航强悍，4685mAh电池轻松用两天，40W快充回血快。钛合金机身高级耐用，iOS系统稳定流畅，一步到位用五年不卡！
我***户,绿色很骚气，微距比之前13确实好很多，但是相机打开确实会莫名的卡死，13从来没有过。4000出头以旧换新，苹果还是很保值的！
k***y,iPhone 16果然没让我失望！A18芯片性能炸裂，运行大型游戏毫无压力，续航也比上一代强了不少。6.3英寸超视网膜XDR屏幕色彩惊艳，户外亮度提升明显。4800万像素主摄搭配全新防抖技术，夜景拍摄纯净度超高，视频还能拍4K 120帧，简直是移动工作室。散热优化后长时间使用也不发烫，加上iOS 18系统流畅度再升级，手势操作更人性化。石墨烯散热+钛金属边框手感一流，虽然价格小贵但绝对物有所值，果粉可以闭眼入！
s***9,之前用的苹果13，正好有国补就顺便换16了，还是一如既往的丝滑，功能方面16多了不少 而且非常实用，还是相信京东产品，放心且质量有保证，价格还实惠，旧机还折不少钱，相当划算。
3***3,手机颜色非常漂亮，购买参与国家补贴政策，价格实惠，拍照技术越来越好，手机内存256g十分充足耐用，使用起来非常流畅且方便。
小***6,这款锅不得不说，真是太好了！第一张图片是在开锅，第二张图片是整锅，颜值非常高！锅体很轻，单手操作完全没有问题。没有涂层。第三张图片是锅盖把手，十分牢固，手感非常好！第四张图片是锅把手，握敢很舒眼，且不烫手。使用下来，煎鸡蛋都不粘，可以达到国标一级不粘标准。总之，值得拥有。
2***g,iPhone 16是一款非常出色的手机！它搭载了A18芯片，性能强劲，日常使用和游戏体验都非常流畅。摄像头升级明显，主摄和超广角镜头像素更高，空间视频拍摄功能也很有特色。外观设计简洁大方，采用航空级铝金属机身，坚固耐用，手感舒适。续航能力大幅提升，视频播放时间最长可达22小时。此外，它还支持Type-C接口，方便实用。总之，iPhone 16是性价比极高的选择！
u***t,上手苹果16后真的被惊艳到！灵动岛的交互体验比想象中更丝滑，各种信息提醒一目了然，还能和App无缝联动，科技感直接拉满。升级后的4800万像素主摄太绝了，无论是夜景拍摄还是细节捕捉都无可挑剔，随手一拍就是大片质感。A18芯片性能强悍，多任务切换毫无卡顿，游戏长时间运行也不发烫，续航能力也明显提升，一整天使用完全没压力。机身尺寸更贴合手掌，磨砂玻璃背板不仅手感舒适，还不容易留指纹。整体来说，苹果16在性能、影像和使用体验上全面升级，绝对是iPhone系列里的诚意之作，入手不亏！
打***憨,手机很好，很满意，用了以旧换新和国补，非常满意。手机是白色的，很好看，日常使用非常流畅，听音乐和耳机也很适配，不错不错 屏幕音效：很棒 拍照效果：很好，很清楚 运行速度：很流畅 待机时间：很耐用
j***D,颜色没有想象中那么好看，总体还可以吧，国补买的，比较优惠了。需要自己购买插头和充电线，，物流很快，临晨下单，下午就送到了，很赞
x***2,特别喜欢，贴完膜才来评论的😂非常好， 原来的13也用好多年了，我很爱惜，几乎没摔过，但是原来的13内存不够用了，我又换的这个16，挺好的，很满意👍
l***s,国补加优惠券下单，群青色很好看，用相机拍照暗处都成像清晰，外形小巧，拿手上没负担，运行速度很快，查了官网是正版！
j***6,我对这款苹果手机非常满意，其系统运行极为流畅，操作体验极佳。无论是日常应用还是大型游戏，都能轻松应对，毫无卡顿。整体而言，这是一款值得推荐的产品。
若***眉,常规升级，由 iPhone15 升级到 iPhone16，系统相当流程，淡蓝色的颜色也深得我心，类似毛玻璃的质感，抗指纹效果也不错。
尊***飞,在京东买的不知第几部手机了，趁着节日优惠加国补买的，不打游戏不拍照128g真的够用了，手机很新鲜三月份产的，外观和系统都完美，暂时没问题，续航也可以，我充电开了保护只充到八十，可以用六个小时左右。另外这次配送小哥也很有耐心，给解释国补要拍照什么的，全部好评。
T***Y,🍀😴 手机真的没有小米 😴🍀 🍀🍀😴 的性价比高 😴🍀🍀 🍀🍀🍀😴 但是 😴🍀🍀🍀质量杠杠的，设计美观大方，商家服务赞，穿上体验很棒，物流服务好，性价比高，爱了爱了！
c***r,手感轻薄，国补以旧换新价格很香，使用了两天很顺畅。我之前的是11，所以对比还蛮明显的，分量色彩速度各方面都好很多。
一***恋,京东快递一如既往的快，好，送给朋友的，一直在京东买手机，大品牌值得信赖，自己一直用苹果手机，感觉很不错，优点也不用多说，用了的人都知道，手感，质感，质量，像素，网速，外观等等都是很不错的，送朋友也很大气。赶上活动性价比很高，很值得入手。
w***5,以旧换新：好合适 外形外观：简单大气 屏幕音效：特别赞👍🏻 拍照效果：巨好👌🏻好(｡•̀ᴗ-)ok 运行速度：特别快！ 商品与描述分毫不差，小二服务认真耐心，东西很好用，外观设计很讲究，产品质量也很出色，总之性价比高，很满意！
完***泪,这款手机真的是太棒了，外观简约大气，手感超好，握在手里非常舒服，屏幕分辨率超高，内存处理也非常不错！
n***o,苹果16 作为一款最新的苹果机，用电耗用电量非常好，24h可以只充一次，颜值非常高，拍照有了质的提升，做工非常好。好评。
e***m,一如既往 首先黑色 此次购物体验非常舒畅安心 旧机直接回收抵扣， 加上优惠券和补贴 性价比超高。 京东服务没得说，家里手机都是在京东官方店购买 信得过 售后有保障。 此次16还套送了2年 Apple Care的额外电池服务 超级棒！
L***9,iPhone16群青色真的是一款非常出色的手机！首先，它的外观非常时尚，采用了独特的群青色设计，让人一眼就能认出是苹果的产品。其次，这款手机的性能也非常强大，搭载了最新的A17仿生芯片，运行速度飞快，无论是玩游戏还是看电影都能轻松应对。此外，iPhone16还配备了超广角摄像头、长焦摄像头和广角摄像头等三颗后置摄像头，拍照效果非常出色。最后，这款手机还支持快充、无线充电等功能，使用起来非常方便。总的来说，iPhone16群青色是一款非常值得推荐的手机！
J***丶,iPhone16的设计和性能令人印象深刻。它拥有出色的处理器和卓越的显示屏，同时相机功能也非常强大。使用体验流畅且舒适，电池续航能力也非常出色。总体来说，iPhone16是一款值得推荐的优秀手机。
d***3,这款手机真的太让我惊喜了!性能强劲，运行各类大型游戏和软件都毫无压力，丝滑流畅不卡顿。外观设计简约时尚，手感舒适。拍照效果也超棒，照片清晰又有质感。电池续航能力不错，能满足我一整天的使用需求。物流快，服务好，必须给五星好评!
小***咪,以旧换新换了苹果16，非常喜欢这款群青色。性能上基本都差不多，习惯了IOS系统。速度比旧机快一些，手感上更轻。
奶***3,还是黑色耐看，一直用苹果手机，系统用习惯了，软件匹配度也好，对于工作的软件全部能用上，这次补贴真的很优惠，买手机，京东就够了，放心购买。京东物流真的快又好，小哥还上门服务。
就***性,终于入手了心仪已久的苹果手机，体验感简直拉满！外观设计简约时尚，金属边框搭配玻璃后盖，质感满满，每次拿在手上都感觉很有格调。  系统是我选择苹果的重要原因，iOS的流畅度真不是吹的，打开各种App几乎都是秒开，多任务切换也毫无压力，用起来丝滑顺畅。软件生态也超丰富，各种优质应用随便挑，完全能满足我的日常使用和娱乐需求。而且苹果对App的审核很严格，不用担心下载到乱七八糟的软件，安全感十足！
y***n,大品牌质量值得信赖。手机到手激活以后，手感非常的细腻。屏幕的颜色非常的鲜艳色彩很好。各种应用顺畅丝滑。是用的国补贴了500元。再加上Plus会员。优惠力度比较大。
软***哈,这手机一上手就被惊艳到了，外观精致，机身轻薄，握感超舒适。性能也十分强劲，打游戏一点都不卡顿，日常使用更是流畅得不行。续航能力也出色，重度使用一天电量都还能撑住，充电速度也快，爱了！
楚***u,买了一段时间了，用了果补登场，验期还是很方便的，主要是送货上门，而且可以使用国补从安卓切换过来，一开始有点不习惯，现在觉得不错，系统比较顺滑，也很方便
t***c,大品牌值得信赖，很轻很好用，尺寸大小刚好，运行很快，拍照效果也特别的好。外观也很好看。价格也很不错。
就***土,苹果16这款手机造型独特，大小合适，单手操作很是方便，经典直边设计怎么看都是让人眼睛一亮，系统更是流畅的没的说，五星好评
小***6,物品包装完整，物流很快。苹果手机外观漂亮，机身轻薄拿着方便。容量大运行速度很快，屏幕清晰声音效果也很好。拍出的照片也很漂亮。
诸***黄,iPhone 16黑色 256G太棒啦！外观时尚大气，经典的黑色尽显高级质感。运行速度超快，各种应用都能迅速响应。拍照效果更是一绝，每一张照片都清晰细腻，色彩还原度超高。256G的容量也完全够用，满足日常存储需求，真的是一款超赞的手机！
j***o,1. 这次在京东入手苹果手机，体验超棒！包装严实，发货神速，手机全新正品。系统流畅，拍照超清晰，不愧是爆款，值得信赖！  2. 信赖京东，下单后没多久就收到苹果手机。外观精美，性能强劲，玩游戏、刷视频毫无压力，购物全程无忧，爱了！  3. 京东购物从没让我失望，这次的苹果手机更是惊喜。配件齐全，质量靠谱，客服响应迅速，下次还来这儿买！  4. 抱着试试看的心态在京东买苹果手机，结果太赞啦！手机颜值高、运行快，售后服务贴心，给满分好评！  5. 京东苹果手机是真靠谱，价格合理，验机无误。上手丝滑流畅，拍照效果惊艳，物流给力，必须五星推荐！
你***a,iPhone 16真的太绝！A18芯片搭配iOS 18系统，操作丝滑不卡顿。4800万像素拍照超清晰，日常使用超安心！
j***r,苹果16，功能全面，操作简便。画质清晰，色彩真实。商家服务热情，售后完善，值得信赖。苹果16，质量上乘，使用顺畅。电池耐用，拍照效果好。商家服务周到，售后无忧，非常满意。
J***6,在京东平台 以旧换新买来的，摄像头像素更加清晰了，处理器非常流畅，运行速度杠杠滴👍，新手机待机时间就是不错👍
j***o,到货很快， 外形外观：很好看 拍照效果：不错，很清晰， 运行速度：很快。不愧是新手机 待机时间：可以一天不充电 其他特色：网速很快 屏幕音效：很新，很喜欢
樂***享,这款手机真的太棒了！📱拍照效果特别好，质感也很不错，充电线也很耐用🌟。物流也很快，包装完好无损，非常满意的一次购物体验！❤️
j***K,很不错，京东效率也很快。嗯，开机之后运行畅通没有什么问题，以后还会再使用苹果的产品的。现在关税价格变动了，比较动荡吧，趁机赶紧入手了一台对吧
R***3,快递速度很快，上午购买下午就收到了。包装很安全，手机很小巧且外观漂亮。目前还在适应中，网络速度有一点点慢。听说苹果手机很好用，先试用一段时间再评价。
j***o,定位很精准。手感也很好大小合适。反应很灵敏做工很好。真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物
三***力,手机挺好的，之前买过同样一部不小心在福州机场被偷了。这次是第二次入手所以很熟悉，iPhone 16标准版是有双摄，4800万主摄+1200万超广角，还带微距、电影模式、空间视频等等，拍风景、拍美食、拍人都游刃有余，夜景也压得住。而且支持MagSafe磁吸充电，不光充电速度快，吸上去还特稳。
肆***的,自己的 12 用好几年了，之前一直不舍得换，这次优惠力度好大，果断下手😍，非常喜欢，一直用的苹果，习惯了，一个机器可以战好几年，物流也给力，完好无损
s***8,**Apple iPhone 16 (256GB 白色)** 延续苹果经典设计，搭载新一代A18芯片，性能强劲功耗低。6.1英寸超视网膜XDR显示屏色彩惊艳，支持5G双卡双待。升级4800万像素主摄，拍照更清晰。白色机身简约高级，256GB存储满足日常需求，iOS系统流畅安全，是追求品质的智能之选。
j***c,iPod one 16GB，添加官网价格非常实惠，京东快递秒送到家当天就收到了。老婆用了，她很开心。新款iPod one的内存足够使用，价格也比以前更实惠，收到包装未拆封。
2***6,打开包装 手机外观非常精美 系统运行流畅摄像头拍照清晰全新正品无疑包装严实续航也是超预期充电适度也飞快
琴***L,这款苹果16的手机设计非常的精致，每一个细节都体现出品牌的高端感，在使用过程中，我感觉非常流畅，不会出现卡顿或者崩溃的情况。而且屏幕也非常的出色，色彩鲜艳，清晰度高，让人看了非常舒服。
O***_,以旧换新：特别优惠 外形外观：很好看，百搭手机壳 屏幕音效：特别好 拍照效果：方便高清 运行速度：很快 待机时间：可以实现一天一充 其他特色：苹果16就是苹果16  像戴了美瞳的苹果11哈哈哈哈哈哈哈哈
序***生,以旧换新：非常划算的，现在还有补贴，很划算 外形外观：比原来的好看，也轻很多 屏幕音效：比较黄，比原来的颜色要黄一些，不知道为啥 拍照效果：还没搞懂咋用，感觉很厉害的样子
l***W,"外形外观：非常的漂亮大气，拿在手上非常的有质感， 很有份量，非常值得购买, 拍照效果：非常有氛围感，拍照很好，非常喜欢它的冷色调，这是别的都没有的，真的超级喜欢他的原相机拍照效果 屏幕音效：很喜欢这种音效"
j***f,给老公买的手机，他非常喜欢，原来用的是iPhone13，已经用了三年多了，电池也不怎么样了，新的iPhone16确实好很多，非常不错的手机。
d***3,之前买过这个品牌的手机，用过这个系统觉得还不错，又回购了。摄像头成像效果非常好，人像模式更不错，喜欢的可以直接购买。
j***r,买这台机子主要是为了做个备用机，能单手操作，不需要太高的配置，一上手非常丝滑好用，京东的国补很划算，满意！
v***6,外形外观：外观设计漂亮高端大气上档次 屏幕音效：屏幕清晰音效空灵 拍照效果：拍照高清 运行速度：运行流畅不卡顿 待机时间：待机时间正常要更久就好了
l***o,一如既往的丝滑流畅，旧手机也以旧换新了，给了补贴，很划算，手机音质特别好，感觉比以前的iphone好很多。京东快递还是很给力。
j***6,这个事物真的很不错。它有着独特的魅力，无论是功能还是外观都令人满意。使用过程中体验感极佳，细节之处尽显用 心，给人带来诸多便利与惊喜，很值得推荐。
C***3,用了一段时间才来评价。手机质量很好，考虑了好几天才下决心买16的，价格实惠，续航能力很强，我基本上每天只充一次电，真的很好用。
暗***香,果味很足，很喜欢。发货速度很快，包装完好无损，性价比很高的，这个系列简直就是闭眼买买买就可以了。完全不需要担心质量问题和售后问题。真心满意的一次购物体验。妥妥的值得推荐。冲冲冲就对了
酱***也,非常不错，买了最喜欢的白色，到手没问题，使用下来很丝滑，客服处理问题态度很好，还会再次回购，相机模版我也很喜欢。
沈***声,"体验了,不得不说它的屏幕显示效果太绝了!6.1英寸超视网膜XDR显示屏,色彩鲜艳,对比度高,看视频、玩游戏视觉体验超棒。户外峰值亮度够高,大太阳下屏幕内容也能看得清清楚楚。"
j***l,外形美观，我喜欢，屏幕清晰流畅，256G平时够甪，以前用了很多年苹果手机，照相和音效确实很好，现在购买一个最新机型给孩子，希望她也喜欢。
c***2,在京东购买苹果16，整个过程让我非常满意。首先，京东的物流速度真的非常快，下单后没过多久就收到了手机，这让我对京东的配送服务赞不绝口。 其次，苹果16的外观设计简约大方，手感极佳。屏幕显示效果也非常出色，色彩鲜艳且清晰度极高。此外，手机的性能也非常强大，运行流畅，无论是玩游戏还是处理工作文件都毫无压力。 最后，京东的售后服务也让我非常放心。收到手机后，我按照说明书进行了简单的设置和测试，一切正常。如果在使用过程中遇到任何问题，我相信京东的客服团队会及时为我提供帮助。 总之，在京东购买苹果16是一次非常愉快的购物体验，我会向身边的朋友推荐这家店铺。
浚***汶,苹果 16，有国家补贴，是真的好用啊，而且还是低于 6000 的，我感觉是今年最值得买的手机，早买早享受，但是晚买享折扣啊，拿低那么多的价格买上手，而且京东物流很快，半天就到了
x***x,这款手机真是太棒了！📱屏显效果非常出色，细节处理得很到位✨。而且外观设计简洁大方，拿在手上非常有质感。无论是拍照还是使用各种应用，都非常流畅顺手。👍值得推荐给所有追求品质的用户！
H***2,遇上国补，价格给力，这款手机A18的处理器运行是很快，外观也挺好看的，现在新买的电池也比较耐用，值得推荐。
j***P,"果然只有京东才是正品啊，那个百啥的以后不敢买了。音效远超过去的所有iPhone,拍照也强大了很多，尤其是电影模式，实在是好用极了。再加上国补，划算透顶。"
破***宿,屏幕音效：音质一如既往的好 拍照效果：非常自然真实，没有过分涂抹 运行速度：非常快的，跟安卓就是不一样 待机时间：待机时间挺好的
j***o,1. 又在京东剁手苹果手机，物流跟闪电一样，隔天就到。手机激活顺利，是正品，用起来丝滑流畅，购物体验超一流 。  2. 身为京东老粉，这次入手苹果新机依旧超满意。包装精致，手机零瑕疵，各项功能完美，客服专业耐心，果断回购！  3. 冲着京东的口碑下单苹果手机，到手后真被惊艳到。全新未拆封，运行毫无卡顿，价格实惠，还送了实用配件。  4. 京东买苹果手机太省心了！商品品质有保障，客服服务超贴心，物流配送飞速，用起来安心又顺心，值得回购。  5. 在京东二次回购苹果手机，不仅价格给力，发货速度快，而且机器性能优越，做工精细，每次都超满意 。
f***w,买手机有一段时间了，这个iPhone16性能真是提高了，各方面反应速度也提升了，我选了绿色，感觉也很漂亮，大小也很适合我，关键国家补贴价格也很合适，值得购买！
Q***儿,苹果的屏幕分辨率是真的好，看着非常舒服。磨砂材质，很好看。两个大大的摄像头，设计的很独特。好用，很喜欢，还有国补，价格很合适。
d***9,还是白色最经典，苹果手机白色的苹果手机就是好看，简约大方，画质清晰，运行速度超快，卖家的服务态度也超级好，发货速度更是快如闪电，非常满意！
L***0,iPhone16真的真的好用，根本就没有外面说的那样 流畅度，画质，音质都很好，然后那个群青色真的好好看 内存的话，预算不够就买128G，可以买iCloud去弥补的
j***s,好的。苹果手机很不错，包装也好，收到之后赶紧都拆开用了，真的很薄又轻又好看，高档我调都不一样，苹果手机直到现在在京东上面买的苹果手机也值得信赖，完完好原封包装的。
9***呀,拍照效果：非常完美，比安卓手机清晰多了，很实用 屏幕音效：非常好 外形外观：很喜欢的外观设计风格 运行速度：非常快，反应速度完美
j***a,手机整体感觉很不错的~外观设计真的是爱了，性能方面也没有让人失望，拍照效果也很棒📸。使用的体验也很流畅，大内存完全够用。总之，非常满意的一次购物💯！
j***9,iphone 16手机用着很好，手机手感很好，拍照效果也很好，系统很丝滑，国补后价格很实惠，京东自营品质值得信耐，推荐大家购买！
福***希,外形外观：很喜欢这个两个的摄像头 屏幕音效：音质还是一如既往的好搭配我的AirPods pro绝了，屏幕也没有大家说的那么难受 拍照效果：很出片！！！！！
v***2,iPhone 16体验分享 国补购买手机真的是超值体验！仅以5500元的价格就入手了iPhone 16白色256GB版本，性价比极高。手机的质感非常出色，白色款的优雅设计让人爱不释手。虽然没有120Hz的高刷新率屏幕有些遗憾，但整体的使用体验依然流畅，色彩显示和触控反应都非常灵敏。对于追求高性价比和品牌信赖度的用户来说，这款iPhone 16无疑是最佳选择之一。
j***8,苹果手机质量非常出色，我的苹果11手机至今仍在使用，已经用了很长时间，非常流畅且不卡，画面也非常流畅。如果将来更换手机，我仍然会选择苹果。这次给丈夫购买了一款他非常喜欢的手机。
j***h,超级喜欢这个粉色，越看越好看，去实体店问粉色断货。果断在京东选择，第二天就送达了。手机没有任何磨损痕迹，非常好。
u***c,很喜欢，手感很不错，用着也很顺滑，这个颜色还挺好看呢，一直用的苹果，两年电池延保就很好，不然用久了电量就不耐用了，嗯嗯 满意
v***a,买来给孩子的礼物。首先手机款式挺好看，大小也合适，拿在手里质感很好，系统用起来很流畅。京东的服务很好
王***锋,外形外观：这次真是买得太值了！产品质量好得没法说，朋友们夸我眼光好，全都想买，我太有面子了！这次购物太成功了！产品质量绝佳，和上次在别家买的一比，优势太明显了。强烈推荐
j***2,苹果16，国补活动时购买的，优惠500块，还是很划算的，所以就下单了，快递小哥送到家，当场激活，一切都很顺利，用起来很不错，苹果的软件就是丝滑。
j***g,外形外观：非常喜欢特别好看 屏幕音效：感觉很棒 拍照效果：美 很美 运行速度：非常快进游戏一点也不卡，而且打开游戏的速度特别快
q***a,特意用了一段时间才来评价 外形外观：好看，高级，耐看 屏幕音效：屏幕灵敏，音量好 拍照效果：拍照效果杠杠的，近拍远拍都好好！喜欢
桃***子,犹豫了很久，终于入手了这款16。它享受国家补贴，仅需5400多元，拥有256GB的内存，非常大且足够使用。像素非常出色，拍摄的照片非常清晰，甚至可与相机媲美。电池续航也非常出色，一般只需一天一充，让我非常满意。作为大品牌，我对其值得信赖。
k***q,手机做工精细，握持感非常不错，颜色非常好看，上手的感觉很不错，手机质感很好，运行速度很快，非常流畅，手机显示效果非常细腻，非常不错的手机。
j***J,苹果16现在购买性价比很高，运行速度快，拍照清晰，一点也不卡顿，打游戏顺畅。京东上购买质量有保证，价格比实体店便宜，送货到家。
s***8,苹果16手机用着还可以，不像Pro那么重，像素也可以拍照的也行，而且用着手感也比较好，性价比也非常不错，值得拥有
蛮***6,发货很快，用了一个月，手机很流畅，没有什么黑屏卡顿等现象，之前一直都是用苹果，大小适合小女生，可以单手操作，，是我想要的效果。拍照好看。
红***鹿,拍照 拍照效果：效果一流的，清晰可见，电池也比以前好太多，耐电了。 外形外观：外观，我喜欢两个平排镜头。国补买的，很划算
j***e,物流迅速，包装精美，服务热情，正品有保障，使用顺畅，为全新未拆封的机器，外观时尚，非常值得推荐，是一款非常棒的产品，令人非常满意，强烈推荐使用，使用起来非常便捷。五星推荐。
购***c,苹果16手机真心不错，性能强劲，拍照清晰，电池续航持久，新系统流畅无比，完全满足日常需求，值得购买。
厌***者,手机很好👍，是正品，京东自营值得信赖，物流也快，快递员当面激活，还有国补，到手物美价廉，物超所值，手机小巧玲珑，适合女生，像素也不错，点赞👍
南***8,以旧换新：不错。 外形外观：非常满意，非常美观。 屏幕音效：音质很好，值得推荐。 拍照效果：拍照非常满意，非常清晰 运行速度：系统也非常不错
倩***9,已经用上了，非常不错。京东买国补真的非常负责，还得等我激活拍照才能正经签收，一直喜欢用苹果，手机目前没毛病，很流畅，除了确实容易热都不错，满意，希望用个五年😂
u***8,国补买苹果16很划算，256g 5400+拿下，哈哈！ 手机配了一根编织数据线，当场激活，是新机，目前用起来没出现任何问题，相信京东～
j***g,苹果手机是正品，马上开机体验了一把，用了1个小时游戏，电量都没掉多少，新机真扛造，系统很流畅。拍照也清晰，一流的购物体验
j***a,8P战了6年，没办法更新版本和软件了，说实话苹果系统真的好用。本来打算享受国补购买，结果下单后告知不能选延保服务，单独无法购买延保，最后只能选择京东支付减200，买了两年只换不修的服务。 到货后实物确实好看，系统使用丝滑，明显提升很多。各项设置更人性化了。 不是说咱们不爱国，华为标准版又贵又确实一般。 我比较喜欢透明壳，选了很久买了图拉斯80多米的，看评价是发黄最慢的。 钢化膜买了侧重护眼效果好的保视清，真的效果不错。 分享给大家我的经验，仅供参考。
啦***琪,从12mini换过来的，16要快很多，电池也很经用， 一天一充就行，白色很美丽，京东服务很好，后面换手机还会光顾的！
j***郎,这款手机真的太棒了！✨ 设计简洁大方，使用起来非常流畅，拍照效果也非常出色📸。性能方面也非常强劲，玩游戏完全没有问题🎮。总之，性价比超高的一款手机！强烈推荐给大家！💖
李***贝,想念已久，心心念念已久的手机终于买到手了，运行非常流畅，不愧是苹果，花了我很多钱。两个月工资了呀，努力赚钱继续买，我估计这个能用几年太流畅了
c***9,苹果16的性能强大，cpu，摄像头和屏幕都挺好，个人日常使用足够了。并且16的手机拿在手上不算太重，单手操作非常好用。给女孩用手机配色也耐看，挺好。
3***l,正品无疑，送货速度非常快速，东西质量也是不错，说实话苹果的运行速度没话说，比一般的手机还是强点，质量不错
H***I,很不错的产品！📦物流很快，包装也很齐全，细节做得很好。使用体验不错，充电速度快，续航时间长。整体来说性价比高，会推荐给朋友。👍🏻
贤***享,时隔几年再次购买iPhone手机，这是我用的第二部苹果手机，上一部是苹果6，这次买苹果16，苹果16手机外观外观很好看，特别是这款蓝色的是我最喜欢的颜色。
家***豆,手机电池不行了想换新机，等了好久终于等到国补上线，赶紧下单，送货非常快，价格一下子就便宜了很多，开心🥳京东的以旧换新价格也很实惠，比自己卖二手机价格高，而且上门收机，很方便
壞***生,苹果看样子要涨价啦，趁着活动优惠赶紧把手上的旧机淘汰了，16真的很轻，材质质感很好，续航也不错，重点是京东快递很快，隔天就到了，愉快用上新机🌟🌟🌟
j***2,手机外观很好，看拿起来很方便大小，也正合适，而且运行也非常的快，屏幕音效也是很棒，拍照效果更是没得说，很不错
